RecordNo,endtime,qweek,is_confident,gender,age,region,household_children,employment_status,trust_Vac,worried_COVID,worried_VacSide,believe_VacEffect,freq_facemask,freq_handSanitizer,freq_avoidppl,freq_avoidHospital,freq_avoidCrowd,will_isolate,feel_worried,covid_is_dangerous,will_get_covid,social_outdoors,social_indoors,freq_avoidMixOthers,freq_avoidOvernight,freq_avoidTraveling,had_covid,vac_boost_beyond,covid_impact_future,work_outside,has_disease,vac_mandatory
41589,2022-01-06 18:02:00,44,True,Female,52,Quebec / Québec,None,Full time employment,3,1,1,5,5,5,5,5,5,Yes,No,1,7,No,No,5,5,5,,,,Yes,,Yes
41731,2022-01-03 23:48:00,44,True,Female,51,British Columbia / Colombie Britanique,None,Full time employment,2,5,4,5,5,5,5,5,5,No,Yes,6,5,No,No,5,4,5,,,,No,No,Yes
41756,2022-01-10 04:53:00,44,True,Female,57,Quebec / Québec,None,Part time employment,3,1,1,5,5,5,4,4,3,No,No,7,1,No,Yes,5,2,5,,,,Yes,,Yes
41846,2022-01-01 13:15:00,44,False,Female,64,Quebec / Québec,None,Retired,2,5,5,3,5,5,5,5,5,Yes,Yes,2,2,No,No,5,5,5,,,,,,Yes
41847,2022-01-01 19:12:00,44,True,Male,45,Quebec / Québec,More than 3,Full time employment,3,5,1,5,5,5,5,5,5,Yes,No,7,7,No,No,5,5,3,,,,Yes,Yes,Yes
41867,2022-01-01 15:21:00,44,True,Female,63,British Columbia / Colombie Britanique,More than 3,Full time employment,3,5,1,5,5,4,4,4,5,No,No,5,4,No,No,3,5,4,,,,Yes,Yes,Yes
41868,2022-01-01 20:02:00,44,True,Male,63,British Columbia / Colombie Britanique,None,Retired,2,2,2,4,5,4,4,3,5,Yes,No,2,2,No,No,4,4,3,,,,,Yes,Yes
41920,2022-01-02 12:36:00,44,True,Female,49,Ontario,None,Not working,3,4,4,4,5,5,5,4,4,No,No,5,4,No,No,5,5,5,,,,,Yes,Yes
41952,2022-01-01 00:46:00,44,True,Male,75,Manitoba,None,Retired,3,3,3,5,5,5,5,5,5,Yes,No,7,4,No,No,5,5,5,,,,,Yes,Yes
41953,2022-01-01 00:55:00,44,False,Male,60,British Columbia / Colombie Britanique,None,Retired,2,4,2,3,5,4,5,5,5,Yes,No,5,5,No,Yes,5,5,5,,,,,Yes,Yes
